repo,commit,file_path,language,has_defect,lines,function_count,class_count,import_count,export_count,avg_complexity,max_complexity,fan_in,fan_out,code_smell_count,has_test
"express","59e205a57a04fced6bb7b8ec0b5dec29461a9996","lib/response.js","javascript",1,1050,9,0,13,0,2.44,5,7,176,2,0
"express","59e205a57a04fced6bb7b8ec0b5dec29461a9996","lib/application.js","javascript",0,632,2,0,5,0,2,2,2,96,1,0
"express","90ec6206d3275fdf2787f2028c6f48a2d92e8042","lib/request.js","javascript",1,528,1,0,7,0,1,1,13,73,2,0
"express","90ec6206d3275fdf2787f2028c6f48a2d92e8042","index.js","javascript",0,12,0,0,0,0,0,0,0,0,0,0
"express","3e81873b52e107898ed7ba45874959fb0546df3f","lib/request.js","javascript",1,515,1,0,7,0,1,1,13,73,2,0
"express","3e81873b52e107898ed7ba45874959fb0546df3f","lib/utils.js","javascript",0,272,3,0,8,0,3,7,3,37,0,0
"express","6a40af82937803a7652b47641a7a3cd2f5c833c4","lib/application.js","javascript",1,632,2,0,5,0,2.5,3,2,97,1,0
"express","6a40af82937803a7652b47641a7a3cd2f5c833c4","lib/express.js","javascript",1,82,2,0,6,0,1,1,0,12,0,0
"express","6a40af82937803a7652b47641a7a3cd2f5c833c4","lib/request.js","javascript",1,516,1,0,7,0,1,1,13,73,2,0
"express","6a40af82937803a7652b47641a7a3cd2f5c833c4","lib/response.js","javascript",1,1026,9,0,12,0,2.44,5,7,167,2,0
"express","6a40af82937803a7652b47641a7a3cd2f5c833c4","lib/view.js","javascript",1,206,2,0,2,0,5,8,3,26,0,0
"express","6a40af82937803a7652b47641a7a3cd2f5c833c4","lib/utils.js","javascript",0,275,3,0,7,0,3,7,3,37,0,0
"express","6a40af82937803a7652b47641a7a3cd2f5c833c4","benchmarks/middleware.js","javascript",0,21,0,0,1,0,0,0,0,9,0,0
"express","b11122be85377375465b2aa103da43301e56f128","lib/application.js","javascript",1,642,2,0,6,0,2.5,3,2,101,1,0
"express","b11122be85377375465b2aa103da43301e56f128","lib/response.js","javascript",1,1027,9,0,13,0,2.44,5,7,169,2,0
"express","b11122be85377375465b2aa103da43301e56f128","lib/express.js","javascript",0,82,2,0,6,0,1,1,0,12,0,0
"express","b11122be85377375465b2aa103da43301e56f128","lib/view.js","javascript",0,206,2,0,2,0,5,8,3,26,0,0
"express","8cb53ea5c3329032a1db47be019b717d8350fb0e","lib/response.js","javascript",1,1028,9,0,13,0,2.44,5,7,169,2,0
"express","8cb53ea5c3329032a1db47be019b717d8350fb0e","lib/utils.js","javascript",1,252,3,0,6,0,1.67,3,3,26,0,0
"express","8cb53ea5c3329032a1db47be019b717d8350fb0e","lib/application.js","javascript",0,642,2,0,7,0,2.5,3,2,102,1,0
"express","8cb53ea5c3329032a1db47be019b717d8350fb0e","lib/request.js","javascript",0,516,1,0,7,0,1,1,13,73,2,0
"express","125bb742a38cd97938a3932b47cc301e41c31f5d","lib/response.js","javascript",1,1179,9,0,12,0,2.44,5,8,192,2,0
"express","125bb742a38cd97938a3932b47cc301e41c31f5d","lib/middleware/init.js","javascript",0,44,0,0,1,0,0,0,1,7,0,0
"express","a1fa90fcea7d8e844e1c9938ad095d62669c3abd","lib/response.js","javascript",1,1188,9,0,12,0,2.44,5,8,196,2,0
"express","a1fa90fcea7d8e844e1c9938ad095d62669c3abd","lib/router/route.js","javascript",0,231,2,0,3,0,5.5,10,4,31,0,0
"async","63d0de2fd9f85d9e0727c3a82a250a561294a3fd","lib/whilst.js","javascript",1,62,3,0,3,1,2.67,4,2,13,0,0
"async","63d0de2fd9f85d9e0727c3a82a250a561294a3fd","lib/filterSeries.js","javascript",0,27,1,0,3,1,1,1,1,5,0,0
"async","576ba747a2aca0e5392f2aad75f4a9912603b2d5","lib/internal/queue.js","javascript",1,272,11,0,4,1,4.09,20,32,80,3,0
"async","576ba747a2aca0e5392f2aad75f4a9912603b2d5","lib/priorityQueue.js","javascript",1,73,1,0,3,1,1,1,1,11,0,0
"async","576ba747a2aca0e5392f2aad75f4a9912603b2d5","lib/internal/parallel.js","javascript",0,18,0,0,3,1,0,0,3,9,0,0
"async","576ba747a2aca0e5392f2aad75f4a9912603b2d5","lib/retryable.js","javascript",0,60,2,0,4,1,3,5,1,12,0,0
"async","e27aaab6cb5278ce312a673852bc962afa1ae233","lib/autoInject.js","javascript",1,148,3,0,3,1,1.67,3,2,25,0,0
"async","e27aaab6cb5278ce312a673852bc962afa1ae233","lib/someSeries.js","javascript",0,30,1,0,3,1,1,1,1,5,0,0
"async","b1b69b03b35022c6c9dfb8f4b9c1ace8f1baf5be","lib/map.js","javascript",1,126,1,0,3,1,1,1,3,5,0,0
"async","b1b69b03b35022c6c9dfb8f4b9c1ace8f1baf5be","lib/internal/promiseCallback.js","javascript",0,20,2,0,0,2,2,3,11,3,1,0
"async","1feecdcf4955d1ad73eb4f90d4895bc121dfbb0a","lib/whilst.js","javascript",1,62,3,0,3,1,2.67,4,2,13,0,0
"async","1feecdcf4955d1ad73eb4f90d4895bc121dfbb0a","lib/unmemoize.js","javascript",0,19,1,0,0,1,1,1,1,0,0,0
"async","6739c08497c7e5f2125abe6b8c34ba3f2fc242c1","support/sync-cjs-package.js","javascript",1,8,0,0,1,0,0,0,0,5,0,0
"async","6739c08497c7e5f2125abe6b8c34ba3f2fc242c1","lib/concat.js","javascript",0,34,1,0,2,1,1,1,1,4,0,0
"async","76f56930f9dcc0951798f7cbf8311d3ccfb88a79","lib/autoInject.js","javascript",1,148,3,0,3,1,1.67,3,2,25,0,0
"async","76f56930f9dcc0951798f7cbf8311d3ccfb88a79","lib/internal/eachOfLimit.js","javascript",0,71,2,0,6,1,6.5,8,13,22,1,0
"async","3df919668ea082a827902839bbc2912e1db22046","lib/applyEach.js","javascript",1,43,0,0,2,1,0,0,1,3,0,0
"async","3df919668ea082a827902839bbc2912e1db22046","lib/applyEachSeries.js","javascript",1,24,0,0,2,1,0,0,1,3,0,0
"async","3df919668ea082a827902839bbc2912e1db22046","lib/mapValues.js","javascript",0,51,1,0,1,1,1,1,1,2,0,0
"async","3df919668ea082a827902839bbc2912e1db22046","lib/apply.js","javascript",0,49,1,0,0,1,1,1,1,1,0,0
"async","8fce7e1a24b8328e34232d3b685df0b7c311c12a","lib/until.js","javascript",1,45,1,0,2,1,1,1,1,6,0,0
